"bootstrap_id","mean_reduction"
509,0.0297604166666667
510,0.0694979166666667
511,0.0155395833333333
512,0.053225
513,0.0553291666666667
514,0.0903395833333333
515,0.0448145833333333
516,0.102314583333333
517,0.045325
518,0.0609145833333333
519,0.04451875
520,0.109583333333333
521,0.0976770833333333
522,0.041675
523,0.09509375
524,0.0636020833333333
525,0.114160416666667
526,0.0426145833333333
527,0.0476020833333333
528,0.0321604166666667
529,0.0627125
530,0.0631770833333333
531,0.0971
532,0.0128541666666667
533,0.0781458333333333
534,0.0736875
535,0.0598875
536,0.0389333333333333
537,0.04711875
538,0.0548979166666667
539,0.0490354166666667
540,0.0545375
541,0.11649375
542,0.0652020833333333
543,0.124285416666667
544,0.0766395833333333
545,0.03964375
546,0.0227208333333333
547,0.0705166666666667
548,0.04034375
549,0.0286833333333333
550,0.0544333333333333
551,0.116172916666667
552,0.109391666666667
553,0.0898
554,0.01190625
555,0.08959375
556,0.0921666666666667
557,0.0679395833333333
558,0.0337416666666667
559,0.0545375
560,0.05448125
561,0.156120833333333
562,0.06559375
563,0.0459041666666667
564,0.04033125
565,0.04529375
566,0.0963270833333333
567,0.0483625
568,0.0551083333333333
569,0.0426708333333333
570,0.09825625
571,0.0632583333333333
572,0.0919270833333333
573,0.00660208333333332
574,0.140041666666667
575,0.0442895833333333
576,0.0648395833333333
577,0.0869708333333333
578,0.0838125
579,0.0929666666666667
580,0.101445833333333
581,0.0684208333333333
582,0.109529166666667
583,0.0569520833333333
584,0.0427895833333333
585,0.0363520833333333
586,0.103047916666667
587,0.07014375
588,0.0562875
589,0.10023125
590,0.0647333333333333
591,0.05481875
592,0.125352083333333
593,0.0321895833333333
594,0.071325
595,0.0787916666666666
596,0.0906520833333333
597,0.0235166666666667
598,0.0745854166666667
599,0.0665395833333333
600,0.10645625
601,0.08688125
602,0.0899583333333333
603,0.0322979166666667
604,0.0387666666666667
605,0.08815
606,0.00627291666666665
607,0.102745833333333
608,0.0829125
609,0.0758708333333333
610,0.06779375
611,0.0683854166666667
612,0.0410375
613,0.0999458333333333
614,0.0800833333333333
615,0.0630729166666667
616,0.0508125
617,0.0541083333333333
618,0.0688958333333333
619,0.0886895833333333
620,0.0369291666666667
621,0.11119375
622,0.0682916666666667
623,0.0240291666666667
624,0.0529979166666667
625,0.160933333333333
626,0.0572333333333333
627,0.09105625
628,0.0266479166666667
629,0.1093125
630,0.0961166666666667
631,0.115566666666667
632,0.0573208333333333
633,0.0592104166666667
634,0.05535
635,0.101841666666667
636,0.0720625
637,0.0738583333333333
638,0.04498125
639,0.1081125
640,0.0257770833333333
641,0.0417083333333333
642,0.108735416666667
643,0.106254166666667
644,0.0891708333333333
645,0.092275
646,0.0742645833333333
647,0.0626854166666667
648,0.0139979166666667
649,0.0481333333333333
650,0.0258020833333333
651,0.0617104166666667
652,0.08054375
653,0.0884083333333333
654,0.0904479166666667
655,0.0650083333333333
656,0.0335229166666667
657,0.0607979166666667
658,0.0848729166666667
659,0.0545458333333333
660,0.0618395833333333
661,0.0812020833333333
662,0.0799645833333333
663,0.0966979166666666
664,0.013875
665,0.06350625
666,0.03906875
